,Zeitstempel,I use the following databases for my scientific illustrations:,Regarding BioIcons,Is it easy to use the current BioIcons website?,"If you know about BioIcons, have you ever submitted or thought about submitting illustrations using the webform or via PullRequest?",I use the following tools to draw scientific illustrations or to assemble icons from BioIcons in illustrations,Which proposed features do you think are most useful to you: [Extension of the icon catalog based on community requests],Which proposed features do you think are most useful to you: [Collaborative web editor],Which proposed features do you think are most useful to you: [Templating mechanism to share graphics created using BioIcons for others to reuse],Which proposed features do you think are most useful to you: [Workshops on illustration licensing and creating illustrations using BioIcons],Country,Position
166,20.11.2023 17:10:03,Other Stocklibrary such as Vecteezy,I want to use it but the catalog is too limited.,Have never used it.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, canva",High priority,Low priority,High priority,Low priority,Canada,research manager
167,13.12.2023 02:11:12,Protein,I want to use it but the catalog is too limited.,Have never used it.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,Low priority,Low priority,Nice to have,Unnecessary,,
168,17.05.2024 12:59:29,"BioRender, SciDraw, FreePik, Other Stocklibrary such as Vecteezy",I want to use it but the catalog is too limited.,Have never used it.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",Low priority,Nice to have,Nice to have,Nice to have,,Undergraduate
169,18.07.2024 13:42:44,"BioIcons, BioRender",I do not use it because I don't need to create illustrations for my work.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,
170,26.09.2023 15:04:44,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Nice to have,Nice to have,Nice to have,India,PhD student
171,16.04.2024 10:56:07,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.",BioRender WebEditor,High priority,High priority,High priority,High priority,Russia,PostDoc
172,25.04.2024 00:17:17,BioIcons,I want to use it but I do not know which editor  I can use.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",High priority,Nice to have,Nice to have,High priority,USA,Research Assistant
173,12.09.2023 03:25:04,"BioRender, Adobe Stock",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, BioRender WebEditor",Nice to have,Nice to have,High priority,High priority,,PhD student
174,14.01.2024 03:01:01,"BioRender, SciDraw",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, BioRender WebEditor, Microsoft PowerPoint",Nice to have,Low priority,Nice to have,Low priority,,PhD student
175,09.04.2024 06:30:47,,I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",Nice to have,Low priority,High priority,High priority,India,PhD student
176,15.04.2024 20:43:23,"BioIcons, BioRender, Wikimedia Commons, SVGRepo",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,Unnecessary,Nice to have,Nice to have,Argentina,Professor
177,16.04.2024 12:49:05,"BioIcons, BioRender",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.",Vectornator,High priority,Nice to have,Nice to have,Low priority,,PostDoc
178,16.04.2024 15:21:04,"BioIcons, BioRender, SciDraw",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Adobe Illustrator, BioRender WebEditor",,,,,,Professor
179,03.05.2024 14:38:32,"BioIcons, Reactome, Wikimedia Commons, Adobe Stock, Phylopic, health icons, Chemix",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,Nice to have,Low priority,,High school research science teacher
180,19.05.2024 16:04:45,BioIcons,I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",High priority,Low priority,Nice to have,Low priority,UK,PostDoc
181,12.06.2024 18:39:24,"BioIcons, BioRender, Open ClipArt, Wikimedia Commons, Phylopic",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.","Microsoft PowerPoint, Affinity Designer",High priority,Low priority,Nice to have,Low priority,USA,Professor
182,21.06.2024 13:29:25,BioRender,I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Low priority,Nice to have,Low priority,,
183,24.08.2024 21:40:16,"BioIcons, Open ClipArt, Wikimedia Commons, Adobe Stock, Other Stocklibrary such as Vecteezy",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",High priority,High priority,Nice to have,High priority,,Independent Scientist
184,22.10.2024 18:33:14,"BioIcons, SciDraw, Wikimedia Commons",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",Nice to have,Low priority,Nice to have,Nice to have,USA,Professor
185,11.09.2023 09:53:11,"BioIcons, BioRender",I want to use it but the catalog is too limited.,No.,"No, because I lack the artistic skills to share my illustrations.",,High priority,Low priority,Low priority,Nice to have,France,permanent academic staff
186,21.09.2023 08:24:22,"BioIcons, BioRender",I want to use it but the catalog is too limited.,No.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Low priority,Nice to have,Nice to have,Switzerland,PhD student
187,20.04.2024 22:23:37,"BioIcons, BioRender",I want to use it but the catalog is too limited.,No.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Low priority,Nice to have,Nice to have,,
188,02.08.2024 23:41:30,,"I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Low priority,High priority,High priority,Brazil,PhD student
189,20.02.2024 14:09:11,"BioIcons, Inkscape",I want to use it but I do not know which editor  I can use.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",Nice to have,Nice to have,High priority,Low priority,UK,PhD student
190,15.11.2023 15:39:41,"BioIcons, BioRender, Wikimedia Commons",I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, LibreOffice Impress",Nice to have,Low priority,Low priority,Low priority,Slovenia,permanent academic staff
191,16.04.2024 04:05:06,"BioIcons, BioRender",I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Low priority,Low priority,Low priority,Brazil,permanent academic staff
192,17.04.2024 23:42:37,"BioIcons, BioRender, SMART by Servier, SciDraw",I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,Nice to have,High priority,High priority,Canada,PostDoc
193,16.04.2024 08:46:21,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Nice to have,Spain,PhD student
194,09.05.2024 20:33:56,"BioIcons, SciDraw, Open ClipArt, canva",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Microsoft PowerPoint, canva",Nice to have,Low priority,High priority,Low priority,Mexico,Professor
195,17.11.2023 12:16:20,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint, LibreOffice Impress",High priority,Nice to have,Nice to have,Low priority,Finland,PostDoc
196,17.04.2024 08:59:40,"BioIcons, SMART by Servier",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",Nice to have,Nice to have,Low priority,Low priority,Spain,PostDoc
197,10.09.2023 18:33:01,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, BioRender WebEditor",Nice to have,Unnecessary,Nice to have,Nice to have,Poland,PhD student
198,11.09.2023 16:17:07,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Low priority,High priority,High priority,Denmark,PostDoc
199,12.09.2023 08:46:00,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,Nice to have,Unnecessary,,Nice to have,India,PhD student
200,18.09.2023 19:59:33,"BioIcons, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, draw.io",High priority,Low priority,Nice to have,Low priority,USA,Professor
201,13.11.2023 10:31:10,"BioIcons, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, tikz, latex, beamer",Nice to have,Nice to have,Nice to have,Low priority,Germany,permanent academic staff
202,05.12.2023 11:41:33,"BioIcons, MindTheGraph","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,Nice to have,Nice to have,High priority,High priority,,PhD student
203,09.12.2023 14:53:55,"BioIcons, Open ClipArt, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",High priority,Low priority,Nice to have,Nice to have,UK,Teaching support
204,25.01.2024 03:34:18,"BioIcons, BioRender, SciDraw, Reactome, FreePik","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Nice to have,High priority,Low priority,,PostDoc
205,05.02.2024 15:16:27,"BioIcons, SMART by Servier","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,High priority,France,permanent academic staff
206,10.02.2024 01:42:35,"BioIcons, Open ClipArt","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",Nice to have,High priority,High priority,Low priority,industry,Company
207,28.02.2024 14:34:21,"BioIcons, BioRender, SciDraw, Reactome","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Low priority,,
208,05.03.2024 07:03:57,"BioIcons, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,Nice to have,Low priority,Low priority,Nice to have,France,permanent academic staff
209,19.03.2024 15:41:18,"BioIcons, Open ClipArt, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Draw.io and Visio,High priority,Nice to have,Nice to have,Nice to have,USA,permanent academic staff
210,22.04.2024 19:15:58,"BioIcons, Open ClipArt, Canva","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Canva,High priority,High priority,High priority,High priority,,Undergraduate
211,24.04.2024 10:36:44,"BioIcons, SciDraw, FreePik, ","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Low priority,High priority,High priority,,PhD student
212,25.04.2024 09:17:46,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,Nice to have,Nice to have,Low priority,Low priority,France,Professor
213,11.05.2024 13:43:31,"BioIcons, BioRender, MindTheGraph, SciDraw, Reactome, FreePik","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,Unnecessary,Unnecessary,Unnecessary,Unnecessary,India,PhD student
214,21.05.2024 03:01:46,,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,,,Unnecessary,,,
215,03.06.2024 21:49:12,"BioIcons, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,Low priority,Nice to have,Low priority,Low priority,USA,PostDoc
216,12.07.2024 17:44:54,"BioIcons, Wikimedia Commons, FreePik","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,Nice to have,Nice to have,High priority,Nice to have,Ecuador,Professor
217,18.07.2024 19:24:31,"BioIcons, Open ClipArt, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,Nice to have,,Nice to have,,,Professor
218,28.07.2024 18:35:53,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,"Australia, India",PhD student
219,29.07.2024 15:01:22,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,High priority,High priority,High priority,,permanent academic staff
220,01.08.2024 17:59:48,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,High priority,,
221,13.08.2024 12:43:04,"BioRender, SMART by Servier","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,High priority,High priority,High priority,,PhD student
222,17.08.2024 20:53:11,"BioIcons, TogoTV/DBCLS","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Unnecessary,Nice to have,Nice to have,,permanent academic staff
223,18.08.2024 15:05:40,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.","BioRender WebEditor, Microsoft PowerPoint",Nice to have,,Nice to have,,,permanent academic staff
224,11.10.2024 11:56:22,"BioIcons, BioRender, SMART by Servier, SciDraw, Reactome, chemix","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,High priority,High priority,,Scientist
225,18.10.2024 21:53:42,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,Nice to have,Nice to have,High priority,Nice to have,USA,PhD student
226,15.01.2024 11:18:34,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,Low priority,Nice to have,Nice to have,,PhD student
227,02.10.2023 15:35:11,"BioIcons, BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint, Affinity Designer",Low priority,Nice to have,Nice to have,Low priority,Germany,Professor
228,08.03.2024 19:44:05,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",High priority,Low priority,Low priority,Nice to have,Canada,permanent academic staff
229,17.07.2024 00:32:49,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Adobe Illustrator, Microsoft PowerPoint",High priority,Unnecessary,Nice to have,Nice to have,industry,Research Scientist
230,11.09.2023 02:17:31,"BioIcons, BioRender, MindTheGraph",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,Nice to have,Unnecessary,High priority,Nice to have,Colombia,PhD student
231,10.01.2024 03:59:51,"BioIcons, BioRender, TogoTV/DBCLS",I want to use it but I do not know which editor  I can use.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Nice to have,High priority,Nice to have,industry,researcher
232,13.03.2024 17:03:46,"BioIcons, BioRender",I want to use it but I do not know which editor  I can use.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",High priority,High priority,High priority,High priority,,PhD student
233,01.05.2024 18:54:23,"BioIcons, BioRender, Open ClipArt",I want to use it but I do not know which editor  I can use.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,Nice to have,Low priority,USA,PostDoc
234,29.05.2024 00:30:33,BioRender,I want to use it but I do not know which editor  I can use.,Yes.,"No, because I lack the artistic skills to share my illustrations.",BioRender WebEditor,High priority,Nice to have,Nice to have,Nice to have,,Undergraduate
235,09.07.2024 10:32:21,"BioIcons, MindTheGraph, SciDraw",I want to use it but I do not know which editor  I can use.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,,Unnecessary,Low priority,High priority,,PhD student
236,10.09.2024 07:40:15,"BioIcons, BioRender",I want to use it but I do not know which editor  I can use.,Yes.,"No, because I lack the artistic skills to share my illustrations.","BioRender WebEditor, Microsoft PowerPoint",,,,,India,PhD student
237,22.10.2024 16:46:09,"BioIcons, SMART by Servier, Reactome",I want to use it but I do not know which editor  I can use.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,,PostDoc
238,10.09.2023 16:26:07,"BioIcons, SMART by Servier, Open ClipArt, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,High priority,High priority,High priority,,PhD student
239,10.09.2023 17:35:08,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Adobe Illustrator, Microsoft PowerPoint",Nice to have,Low priority,High priority,High priority,Italy,PostDoc
240,11.09.2023 03:40:08,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Low priority,Nice to have,Low priority,USA,Professor
241,11.09.2023 06:20:48,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Adobe Illustrator",High priority,Nice to have,Nice to have,Nice to have,Germany,permanent academic staff
242,11.09.2023 13:23:43,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, BioRender WebEditor, Microsoft PowerPoint",High priority,Low priority,Nice to have,Low priority,USA,PostDoc
243,11.09.2023 15:14:41,"BioIcons, BioRender, SciDraw",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",,High priority,Nice to have,High priority,Low priority,USA,PostDoc
244,11.09.2023 15:37:56,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Low priority,Low priority,Greece,PhD student
245,11.09.2023 16:43:43,"BioIcons, Phylopic",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,Low priority,Nice to have,Nice to have,Ireland,PostDoc
246,11.09.2023 17:56:20,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",,High priority,Low priority,High priority,High priority,Spain,PhD student
247,11.09.2023 17:58:00,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Nice to have,Nice to have,Nice to have,Spain,Principal investigator
248,11.09.2023 20:33:19,BioRender,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,Nice to have,Unnecessary,Unnecessary,Unnecessary,Germany,PhD student
249,12.09.2023 10:56:51,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,High priority,Nice to have,Low priority,Germany,PhD student
250,12.09.2023 14:55:08,"BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,Nice to have,Nice to have,Nice to have,High priority,,PostDoc
251,12.09.2023 15:35:54,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, Reactome, Open ClipArt, Wikimedia Commons, Pixabay",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Microsoft PowerPoint, Adobe Photoshop",High priority,Nice to have,Low priority,Unnecessary,Portugal,PhD student
252,12.09.2023 18:55:15,"BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,Nice to have,Nice to have,High priority,Nice to have,USA,Staff
253,12.09.2023 19:24:53,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",Low priority,Nice to have,High priority,Low priority,Switzerland,PhD student
254,12.09.2023 20:43:41,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,Nice to have,Nice to have,Low priority,Industry,"Principal Scientist, Computational Sciences and Engineering"
255,13.09.2023 09:28:50,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Microsoft PowerPoint, AffinityDesigner, Google Slides",High priority,Low priority,Nice to have,Nice to have,Denmark,Professor
256,13.09.2023 15:14:09,"BioIcons, BioRender, SciDraw",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Low priority,Portugal,PhD student
257,14.09.2023 00:27:08,"BioIcons, BioRender, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,,,,,,PhD student
258,19.09.2023 20:38:50,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint",High priority,Low priority,Nice to have,Low priority,Spain,PhD student
259,22.09.2023 18:48:55,"BioIcons, Open ClipArt",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,Nice to have,Nice to have,Nice to have,Uruguay,Professor
260,22.09.2023 19:19:04,"BioIcons, BioRender, Reactome, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, BioRender WebEditor",High priority,Nice to have,High priority,High priority,India,PhD student
261,24.09.2023 11:38:39,"BioIcons, FreeSVG",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,Nice to have,Low priority,Nice to have,High priority,,Graduate
262,24.09.2023 13:30:31,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Paint 3D,High priority,,,,Morocco,PhD student
263,25.09.2023 15:44:17,"BioIcons, BioRender, Reactome",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,High priority,High priority,High priority,India,PhD student
264,26.09.2023 23:32:28,"BioIcons, BioRender, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,Low priority,Low priority,Low priority,USA,Professor
265,05.10.2023 23:37:48,"BioIcons, BioRender, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Adobe Illustrator,High priority,Nice to have,Nice to have,Nice to have,Switzerland,PhD student
266,14.10.2023 17:33:10,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Unnecessary,Nice to have,Unnecessary,USA,Government Research Entomologist
267,22.10.2023 19:29:11,"BioIcons, SMART by Servier, SciDraw, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint, Affinity Designer",High priority,Unnecessary,Nice to have,High priority,Sweden,Researcher
268,27.10.2023 20:04:43,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Microsoft PowerPoint,High priority,Nice to have,Nice to have,High priority,USA,PostDoc
269,01.11.2023 22:29:29,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Adobe Illustrator, Microsoft PowerPoint",Nice to have,Low priority,Nice to have,Low priority,,PostDoc
270,09.11.2023 13:49:40,"BioIcons, BioRender, SciDraw",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","BioRender WebEditor, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Low priority,USA,PhD student
271,17.11.2023 05:03:41,"BioIcons, MindTheGraph, SMART by Servier, Open ClipArt, Other Stocklibrary such as Vecteezy",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Adobe Illustrator, Microsoft PowerPoint, Photoshop",High priority,Nice to have,Nice to have,Nice to have,,Self-study
272,08.12.2023 01:37:29,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Nice to have,industry,Biotech research staff
273,08.12.2023 20:02:02,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,Unnecessary,Unnecessary,Unnecessary,USA,Professor
274,23.12.2023 12:31:48,BioRender,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,High priority,High priority,High priority,UK,Lecturer
275,18.01.2024 12:40:06,"BioIcons, BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Affinity Designer,High priority,Low priority,Nice to have,Nice to have,Denmark,Professor
276,01.02.2024 17:07:47,"BioIcons, BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.","Inkscape, Adobe Illustrator, Microsoft PowerPoint",High priority,Low priority,Nice to have,Unnecessary,Italy,Professor
277,03.02.2024 09:39:04,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I lack the artistic skills to share my illustrations.",Inkscape,High priority,High priority,Low priority,Nice to have,India,Undergraduate
